main_group,cluster_label,n_assets,ordered_from,ordered_to,mean_corr_intra,mean_dist_intra,assets_preview,assets_all,raw_indices,mean_dist_corr_intra,mean_dist_quantum_intra
1,2,9,4,12,0.6637239916047135,0.40684077554570436,"XRP-USD, DOGE-USD, SOL-USD, BNB-USD, AVAX-USD, BTC-USD, ETH-USD, ADA-USD, DOT-USD",XRP-USD | DOGE-USD | SOL-USD | BNB-USD | AVAX-USD | BTC-USD | ETH-USD | ADA-USD | DOT-USD,64 | 66 | 62 | 63 | 68 | 60 | 61 | 65 | 67,0.40684077554570436,0.16075016644635487
2,3,3,14,16,0.5573860786926076,0.4666841122331939,"SOYB, CORN, WEAT",SOYB | CORN | WEAT,47 | 45 | 46,0.4666841122331939,0.15705114604266637
3,4,147,22,168,0.32800794302359604,0.5711542540346524,"CVS, REGN, INFY, SE, ABBV, IBM, SBUX, PANW, MO, LLY, FDX, UGA, USO, DBC, PDBC, BKR, PSX, MPC, ... (+129)",CVS | REGN | INFY | SE | ABBV | IBM | SBUX | PANW | MO | LLY | FDX | UGA | USO | DBC | PDBC | BKR | PSX | MPC | VLO | OXY | SLB | HAL | CVX | XLE | XOM | LMT | CMCSA | CHTR | BA | PM | RTX | ORCL | WMT | JNJ | PPLT | GLD | SLV | TJX | NKE | INTC | SNOW | UNH | DIS | MCD | UPS | NFLX | SCHW | SHOP | GM | F | MELI | LCID | BYDDF | HD | LOW | LI | NIO | XPEV | CRM | RIVN | XLU | TSM | DBB | PEP | PG | XLP | KO | ADBE | UNP | CSX | NSC | CAT | COPX | AVGO | HON | LIT | BABA | TCEHY | AMD | TSLA | TFC | HYG | VWOB | EMB | IGOV | TIP | BNDX | SHY | TLT | VCSH | LQD | VCIT | MBB | IEF | SCHZ | AGG | BND | XLV | AXP | BLK | FAN | ICLN | TAN | PBD | PBW | QCLN | C | MS | AMZN | AAPL | GS | GOOGL | NVDA | RWX | RWO | XLRE | SCHH | IYR | VNQ | FREL | VWO | EEM | IEMG | WFC | META | BRK-B | JPM | MSFT | BAC | XLB | XLC | XLF | IWM | XLY | XLI | DIA | EFA | SCHF | VEA | SPDW | ACWI | VTI | IVV | SPY | VOO | QQQ | XLK,124 | 128 | 150 | 152 | 125 | 135 | 118 | 139 | 111 | 126 | 97 | 44 | 43 | 41 | 42 | 107 | 103 | 102 | 104 | 101 | 105 | 106 | 99 | 16 | 100 | 92 | 143 | 144 | 89 | 112 | 98 | 134 | 113 | 121 | 38 | 36 | 37 | 120 | 119 | 132 | 138 | 123 | 78 | 117 | 96 | 77 | 87 | 151 | 155 | 156 | 153 | 158 | 154 | 115 | 116 | 160 | 149 | 159 | 137 | 157 | 23 | 133 | 40 | 110 | 108 | 21 | 109 | 136 | 93 | 94 | 95 | 90 | 39 | 140 | 91 | 165 | 147 | 148 | 131 | 74 | 88 | 51 | 32 | 35 | 33 | 53 | 31 | 52 | 48 | 58 | 50 | 59 | 56 | 49 | 57 | 54 | 55 | 19 | 85 | 86 | 166 | 161 | 162 | 167 | 163 | 164 | 82 | 84 | 72 | 69 | 80 | 71 | 73 | 27 | 30 | 22 | 28 | 26 | 25 | 29 | 10 | 8 | 34 | 83 | 76 | 75 | 79 | 70 | 81 | 24 | 20 | 15 | 3 | 18 | 17 | 2 | 7 | 13 | 9 | 12 | 11 | 5 | 4 | 0 | 6 | 1 | 14,0.5711542540346524,0.14687612106737005
