micro_group,parent_main_group,cluster_label,n_assets,ordered_from,ordered_to,mean_corr_intra,mean_dist_intra,assets_preview,assets_all,raw_indices,mean_dist_corr_intra,mean_dist_quantum_intra
1,3,15,2,35,36,0.9951202538826701,0.0493950711980957,"DBC, PDBC",DBC | PDBC,41 | 42,0.0493950711980957,0.028149684828379137
2,3,49,2,104,105,0.9875407977051186,0.07892782239135115,"VWOB, EMB",VWOB | EMB,32 | 35,0.07892782239135115,0.030654205513021088
3,3,51,7,112,118,0.9533276568683658,0.14362376566004198,"LQD, VCIT, MBB, IEF, SCHZ, AGG, BND",LQD | VCIT | MBB | IEF | SCHZ | AGG | BND,50 | 59 | 56 | 49 | 57 | 54 | 55,0.14362376566004198,0.054368818826945234
4,3,64,6,136,141,0.9858940967624891,0.07425798225433031,"RWO, XLRE, SCHH, IYR, VNQ, FREL",RWO | XLRE | SCHH | IYR | VNQ | FREL,30 | 22 | 28 | 26 | 25 | 29,0.07425798225433031,0.029784767462743025
5,3,66,3,142,144,0.9930147030209008,0.057157504221023066,"VWO, EEM, IEMG",VWO | EEM | IEMG,10 | 8 | 34,0.057157504221023066,0.04180138928377191
6,3,67,4,158,161,0.9966083059325105,0.040095708832686074,"EFA, SCHF, VEA, SPDW",EFA | SCHF | VEA | SPDW,7 | 13 | 9 | 12,0.040095708832686074,0.027724734520898204
7,3,68,7,162,168,0.9607113768596447,0.12310147676604995,"ACWI, VTI, IVV, SPY, VOO, QQQ, XLK",ACWI | VTI | IVV | SPY | VOO | QQQ | XLK,11 | 5 | 4 | 0 | 6 | 1 | 14,0.12310147676604995,0.04749652096465789
