micro_group,parent_main_group,cluster_label,n_assets,ordered_from,ordered_to,mean_corr_intra,mean_dist_intra,assets_preview,assets_all,raw_indices
1,1,1,2,2,3,0.25410280722383644,0.016077713981512993,"PM, GS",PM | GS,76 | 123
2,1,2,2,4,5,0.32732411827652635,0.028299991419447442,"BKR, NSC",BKR | NSC,17 | 110
3,1,4,3,7,9,0.13581439632728085,0.02370725519234132,"NVDA, UNP, SHY",NVDA | UNP | SHY,89 | 7 | 35
4,1,5,3,10,12,0.19013854320433562,0.035982037952208536,"LCID, LLY, AVGO",LCID | LLY | AVGO,104 | 112 | 163
5,2,8,7,13,19,0.7988506715816628,0.022617688634619455,"BAC, IYR, XLRE, DIA, FREL, VNQ, SCHH",BAC | IYR | XLRE | DIA | FREL | VNQ | SCHH,52 | 100 | 158 | 46 | 108 | 12 | 49
6,2,9,4,20,23,0.3713889378515988,0.0350693070618999,"XLI, IEF, LIT, QCLN",XLI | IEF | LIT | QCLN,114 | 151 | 25 | 88
7,2,10,2,24,25,0.4739744401855519,0.019152980375745088,"CAT, CSX",CAT | CSX,22 | 71
8,2,11,2,27,28,0.20618015928579927,0.023622726570121447,"DIS, VZ",DIS | VZ,86 | 165
9,2,13,3,30,32,0.25349031466606337,0.040173500488288154,"C, MSFT, LI",C | MSFT | LI,36 | 38 | 63
10,2,15,3,33,35,0.13983928052846475,0.022278074337629145,"KRBN, AMD, XOM",KRBN | AMD | XOM,135 | 24 | 56
11,2,16,4,36,39,0.5545630373945777,0.017888024573079062,"TLT, VWO, VWOB, EMB",TLT | VWO | VWOB | EMB,72 | 106 | 42 | 149
12,2,17,4,40,43,0.22626771683015087,0.023478272251290844,"SOYB, IWM, EEM, TIP",SOYB | IWM | EEM | TIP,161 | 28 | 32 | 117
13,2,18,3,44,46,0.5351322932883603,0.040172978304304684,"PBW, VCIT, VCSH",PBW | VCIT | VCSH,85 | 94 | 148
14,3,19,2,47,48,0.3576975382351118,0.029509924400441607,"XPEV, TSLA",XPEV | TSLA,66 | 105
15,3,20,4,50,53,0.38292593378234424,0.037685166666144895,"MS, NFLX, SNOW, JPM",MS | NFLX | SNOW | JPM,62 | 150 | 15 | 48
16,4,22,2,54,55,0.7961309163068264,0.024735807602554657,"DOT-USD, ADA-USD",DOT-USD | ADA-USD,34 | 95
17,4,25,2,59,60,0.577493823126673,0.050323588098973256,"DOGE-USD, BNB-USD",DOGE-USD | BNB-USD,30 | 109
18,4,27,3,62,64,0.39937871482402354,0.02341075025133989,"RWX, BLK, BNDX",RWX | BLK | BNDX,60 | 79 | 142
19,4,29,4,65,68,0.594793013099402,0.027631157263749217,"RWO, XLF, XLC, AAPL",RWO | XLF | XLC | AAPL,147 | 138 | 14 | 124
20,4,30,3,69,71,0.507713042785832,0.032931402558011184,"AXP, TJX, BRK-B",AXP | TJX | BRK-B,29 | 8 | 31
21,4,31,3,72,74,0.0761618652148252,0.032958637366961745,"BABA, TSM, JNJ",BABA | TSM | JNJ,27 | 68 | 77
22,6,42,2,85,86,0.30915350693900245,0.046465611933203844,"TFC, CVS",TFC | CVS,54 | 99
23,7,45,2,89,90,0.04779419171606131,0.046519335860302026,"MRNA, MO",MRNA | MO,13 | 19
24,7,46,2,91,92,0.3091340756867657,0.03851668630201902,"TMUS, UNH",TMUS | UNH,37 | 69
25,7,47,4,93,96,0.2699914633602153,0.031908669518556,"FAN, AMZN, PFE, RIVN",FAN | AMZN | PFE | RIVN,18 | 87 | 59 | 145
26,7,48,3,97,99,0.123118831657571,0.020477781426806226,"TCEHY, TAN, CORN",TCEHY | TAN | CORN,73 | 81 | 82
27,7,49,3,100,102,0.4980361329474065,0.030310826819504925,"DBC, SPDW, COPX",DBC | SPDW | COPX,156 | 53 | 115
28,7,50,3,103,105,0.2064455566211745,0.024398844449693254,"QQQ, MBB, DBB",QQQ | MBB | DBB,126 | 6 | 120
29,7,51,4,106,109,0.3841774425598025,0.028440924335193973,"PBD, XLP, SLV, HYG",PBD | XLP | SLV | HYG,83 | 91 | 11 | 44
30,8,52,7,110,116,0.39094508754515706,0.023274170070241375,"PPLT, BND, SCHZ, XLB, USO, AGG, LQD",PPLT | BND | SCHZ | XLB | USO | AGG | LQD,33 | 111 | 134 | 5 | 131 | 1 | 16
31,8,53,3,117,119,0.2723058373122505,0.03407526699717333,"PSX, IGOV, IEMG",PSX | IGOV | IEMG,75 | 3 | 146
32,8,54,3,121,123,0.2251629367488505,0.030022425705443487,"CHTR, SCHW, ORCL",CHTR | SCHW | ORCL,80 | 93 | 119
33,8,56,2,124,125,0.3060195435133898,0.026648598772187605,"CMCSA, ADBE",CMCSA | ADBE,137 | 168
34,8,57,2,126,127,0.23286083861509302,0.03204614686303427,"ICLN, SLB",ICLN | SLB,20 | 128
35,8,58,3,128,130,0.3724272099803046,0.02801368978070896,"GOOGL, BA, GM",GOOGL | BA | GM,97 | 74 | 116
36,9,59,3,131,133,0.3080946671981174,0.026165905540352762,"ACWI, BYDDF, VLO",ACWI | BYDDF | VLO,130 | 65 | 78
37,9,60,2,134,135,0.07825654648525604,0.03848574012585734,"XLY, UGA",XLY | UGA,84 | 144
38,9,61,3,136,138,0.29418827303000405,0.02056527866586016,"HON, CVX, MCD",HON | CVX | MCD,55 | 23 | 107
39,9,62,2,140,141,0.33657698951293724,0.01824113903123673,"HD, PEP",HD | PEP,64 | 157
40,10,64,3,144,146,0.1938360856533714,0.02518343238269408,"WMT, INFY, MELI",WMT | INFY | MELI,162 | 26 | 101
41,10,65,3,148,150,0.2619105129114094,0.028939783693984197,"RTX, GILD, T",RTX | GILD | T,92 | 50 | 125
42,11,69,7,151,157,0.4385161588993621,0.02851578081209653,"OXY, SCHF, VTI, GLD, PDBC, VEA, XLK",OXY | SCHF | VTI | GLD | PDBC | VEA | XLK,96 | 67 | 70 | 166 | 113 | 21 | 164
43,11,70,5,158,162,0.8239549228346006,0.016686590528886446,"IVV, SPY, VOO, EFA, XLV",IVV | SPY | VOO | EFA | XLV,43 | 57 | 152 | 2 | 159
44,11,71,2,163,164,0.02021198876803175,0.03134761253700745,"PG, HAL",PG | HAL,9 | 122
45,11,72,4,165,168,0.24739767691410808,0.025679196468997727,"XLU, XLE, NIO, LOW",XLU | XLE | NIO | LOW,136 | 143 | 40 | 58
