micro_group,parent_main_group,cluster_label,n_assets,ordered_from,ordered_to,mean_corr_intra,mean_dist_intra,assets_preview,assets_all,raw_indices
1,1,1,2,0,1,0.16315089598024085,0.08942998434835805,"ETH-USD, BKR",ETH-USD | BKR,61 | 107
2,1,2,6,2,7,0.985894096762489,0.02978476746274303,"RWO, SCHH, VNQ, FREL, XLRE, IYR",RWO | SCHH | VNQ | FREL | XLRE | IYR,30 | 28 | 25 | 29 | 22 | 26
3,1,3,5,8,12,0.3780879203326942,0.06363870175864177,"BTC-USD, BLK, AAPL, TJX, TSM",BTC-USD | BLK | AAPL | TJX | TSM,60 | 86 | 69 | 120 | 133
4,1,4,2,13,14,0.7681100736363266,0.06696035564462009,"JPM, WFC",JPM | WFC,79 | 83
5,1,5,3,15,17,0.31448564918315175,0.07149455882507878,"LMT, MS, AXP",LMT | MS | AXP,92 | 84 | 85
6,1,6,4,19,22,0.42256568320672955,0.06452216656998942,"DIA, XLI, IWM, WEAT",DIA | XLI | IWM | WEAT,2 | 17 | 3 | 46
7,1,7,4,23,26,0.5226405055694453,0.06422617869888626,"XLC, BRK-B, BAC, CAT",XLC | BRK-B | BAC | CAT,20 | 75 | 81 | 90
8,2,9,4,29,32,0.3746033161201432,0.0678640044788104,"SHOP, CSX, DIS, CMCSA",SHOP | CSX | DIS | CMCSA,151 | 94 | 78 | 143
9,3,12,3,33,35,0.8106332501452728,0.05411553062216801,"VCSH, IEF, TIP",VCSH | IEF | TIP,58 | 49 | 53
10,3,13,2,36,37,0.13425565466663347,0.06376573906438592,"BNDX, JNJ",BNDX | JNJ,31 | 121
11,3,14,5,38,42,0.2988900486433187,0.06921547331562,"RWX, SOYB, LIT, TSLA, BABA",RWX | SOYB | LIT | TSLA | BABA,27 | 47 | 165 | 74 | 147
12,3,15,3,44,46,0.6902901384895094,0.06317751387694784,"AVAX-USD, BNB-USD, DOT-USD",AVAX-USD | BNB-USD | DOT-USD,68 | 63 | 67
13,4,17,2,47,48,0.4483069309555523,0.059810062748426665,"NFLX, SNOW",NFLX | SNOW,77 | 138
14,4,18,3,49,51,0.24681113052414752,0.07136057449474154,"NSC, GS, LLY",NSC | GS | LLY,95 | 80 | 126
15,4,19,2,52,53,0.39867881616290324,0.05557432957076959,"META, AVGO",META | AVGO,76 | 140
16,4,20,3,54,56,0.179473968376726,0.06620266535293573,"PM, NVDA, UNP",PM | NVDA | UNP,112 | 73 | 93
17,5,21,2,58,59,0.0748654122580773,0.06362485955144283,"SHY, LCID",SHY | LCID,52 | 158
18,5,22,2,61,62,0.6411872444977409,0.07395630146352301,"ADA-USD, DOGE-USD",ADA-USD | DOGE-USD,65 | 66
19,6,25,2,64,65,0.3401283242458515,0.08018719983907369,"INTC, F",INTC | F,132 | 156
20,6,27,2,66,67,0.25016249072176044,0.07449934702454589,"NKE, PANW",NKE | PANW,119 | 139
21,6,28,2,68,69,0.162988958481786,0.0920289516193834,"TFC, ABBV",TFC | ABBV,88 | 125
22,6,29,2,71,72,0.07020788001707787,0.06783659047941669,"CVS, SE",CVS | SE,124 | 152
23,6,31,2,75,76,0.15001208339267183,0.055581031513407535,"MPC, KO",MPC | KO,102 | 109
24,7,34,3,79,81,0.2337309794205802,0.06243287864995565,"IBM, MO, ORCL",IBM | MO | ORCL,135 | 111 | 134
25,8,37,4,82,85,0.26761133657765696,0.061984293226552356,"VZ, GOOGL, C, ADBE",VZ | GOOGL | C | ADBE,141 | 71 | 82 | 136
26,8,38,3,87,89,0.030841462893013438,0.07197285881941808,"CORN, MRNA, CHTR",CORN | MRNA | CHTR,45 | 127 | 144
27,8,40,4,90,93,0.18277358681242026,0.06243039695980404,"REGN, T, RTX, WMT",REGN | T | RTX | WMT,128 | 142 | 98 | 113
28,8,41,5,94,98,0.2764357403790713,0.06745344749765535,"AMZN, HAL, PSX, TMUS, FAN",AMZN | HAL | PSX | TMUS | FAN,72 | 106 | 103 | 145 | 166
29,8,42,3,99,101,0.18191134909566373,0.07468338763714966,"RIVN, PG, WBD",RIVN | PG | WBD,157 | 108 | 146
30,9,43,3,102,104,0.4204370968075146,0.05479156522792966,"XOM, XLB, USO",XOM | XLB | USO,100 | 24 | 43
31,9,44,2,105,106,0.0982013085620763,0.04597969482045109,"VLO, PEP",VLO | PEP,104 | 110
32,9,45,5,107,111,0.44230079650990817,0.054097068535817396,"QQQ, XLK, XLV, XLE, XLU",QQQ | XLK | XLV | XLE | XLU,1 | 14 | 19 | 16 | 23
