sub_group,parent_main_group,cluster_label,n_assets,ordered_from,ordered_to,mean_corr_intra,mean_dist_intra,assets_preview,assets_all,raw_indices,mean_dist_corr_intra,mean_dist_quantum_intra
1,,1,2,2,3,0.6786718997334235,0.40082920319418874,"VZ, T",VZ | T,141 | 142,0.40082920319418874,0.13013712768142943
2,1.0,2,9,4,12,0.6637239916047135,0.40684077554570436,"XRP-USD, DOGE-USD, SOL-USD, BNB-USD, AVAX-USD, BTC-USD, ETH-USD, ADA-USD, DOT-USD",XRP-USD | DOGE-USD | SOL-USD | BNB-USD | AVAX-USD | BTC-USD | ETH-USD | ADA-USD | DOT-USD,64 | 66 | 62 | 63 | 68 | 60 | 61 | 65 | 67,0.40684077554570436,0.16075016644635487
3,2.0,3,3,14,16,0.5573860786926076,0.4666841122331939,"SOYB, CORN, WEAT",SOYB | CORN | WEAT,47 | 45 | 46,0.4666841122331939,0.15705114604266637
4,3.0,4,14,33,46,0.6562956101028201,0.4041072364007595,"UGA, USO, DBC, PDBC, BKR, PSX, MPC, VLO, OXY, SLB, HAL, CVX, XLE, XOM",UGA | USO | DBC | PDBC | BKR | PSX | MPC | VLO | OXY | SLB | HAL | CVX | XLE | XOM,44 | 43 | 41 | 42 | 107 | 103 | 102 | 104 | 101 | 105 | 106 | 99 | 16 | 100,0.4041072364007595,0.10601878990980544
5,3.0,5,2,48,49,0.6783847187253019,0.40100828001096067,"CMCSA, CHTR",CMCSA | CHTR,143 | 144,0.40100828001096067,0.19640159622757786
6,3.0,6,3,56,58,0.6571872447389143,0.4089862541276362,"PPLT, GLD, SLV",PPLT | GLD | SLV,38 | 36 | 37,0.4089862541276362,0.07299734101321657
7,3.0,7,107,62,168,0.4105314440863678,0.532091712070842,"SNOW, UNH, DIS, MCD, UPS, NFLX, SCHW, SHOP, GM, F, MELI, LCID, BYDDF, HD, LOW, LI, NIO, XPEV, ... (+89)",SNOW | UNH | DIS | MCD | UPS | NFLX | SCHW | SHOP | GM | F | MELI | LCID | BYDDF | HD | LOW | LI | NIO | XPEV | CRM | RIVN | XLU | TSM | DBB | PEP | PG | XLP | KO | ADBE | UNP | CSX | NSC | CAT | COPX | AVGO | HON | LIT | BABA | TCEHY | AMD | TSLA | TFC | HYG | VWOB | EMB | IGOV | TIP | BNDX | SHY | TLT | VCSH | LQD | VCIT | MBB | IEF | SCHZ | AGG | BND | XLV | AXP | BLK | FAN | ICLN | TAN | PBD | PBW | QCLN | C | MS | AMZN | AAPL | GS | GOOGL | NVDA | RWX | RWO | XLRE | SCHH | IYR | VNQ | FREL | VWO | EEM | IEMG | WFC | META | BRK-B | JPM | MSFT | BAC | XLB | XLC | XLF | IWM | XLY | XLI | DIA | EFA | SCHF | VEA | SPDW | ACWI | VTI | IVV | SPY | VOO | QQQ | XLK,138 | 123 | 78 | 117 | 96 | 77 | 87 | 151 | 155 | 156 | 153 | 158 | 154 | 115 | 116 | 160 | 149 | 159 | 137 | 157 | 23 | 133 | 40 | 110 | 108 | 21 | 109 | 136 | 93 | 94 | 95 | 90 | 39 | 140 | 91 | 165 | 147 | 148 | 131 | 74 | 88 | 51 | 32 | 35 | 33 | 53 | 31 | 52 | 48 | 58 | 50 | 59 | 56 | 49 | 57 | 54 | 55 | 19 | 85 | 86 | 166 | 161 | 162 | 167 | 163 | 164 | 82 | 84 | 72 | 69 | 80 | 71 | 73 | 27 | 30 | 22 | 28 | 26 | 25 | 29 | 10 | 8 | 34 | 83 | 76 | 75 | 79 | 70 | 81 | 24 | 20 | 15 | 3 | 18 | 17 | 2 | 7 | 13 | 9 | 12 | 11 | 5 | 4 | 0 | 6 | 1 | 14,0.532091712070842,0.13759894536953837
