sub_group,parent_main_group,cluster_label,n_assets,ordered_from,ordered_to,mean_corr_intra,mean_abs_corr_intra,assets_preview,assets_all,raw_indices
1,,1,2,2,3,0.38629082375894147,0.38629082375894147,"T, VZ",T | VZ,125 | 165
2,1.0,2,9,4,12,0.2579704658281607,0.2609581988829333,"XRP-USD, DOGE-USD, SOL-USD, BNB-USD, AVAX-USD, ETH-USD, BTC-USD, DOT-USD, ADA-USD",XRP-USD | DOGE-USD | SOL-USD | BNB-USD | AVAX-USD | ETH-USD | BTC-USD | DOT-USD | ADA-USD,160 | 30 | 10 | 109 | 45 | 133 | 139 | 34 | 95
3,2.0,3,2,15,16,0.30667797784317685,0.30667797784317685,"WEAT, CORN",WEAT | CORN,41 | 82
4,3.0,5,14,33,46,0.33147015513317774,0.33147015513317774,"UGA, USO, PDBC, DBC, BKR, PSX, VLO, MPC, OXY, SLB, HAL, CVX, XOM, XLE",UGA | USO | PDBC | DBC | BKR | PSX | VLO | MPC | OXY | SLB | HAL | CVX | XOM | XLE,144 | 131 | 113 | 156 | 17 | 75 | 78 | 153 | 96 | 128 | 122 | 23 | 56 | 143
5,3.0,6,2,48,49,0.6323249289254446,0.6323249289254446,"CHTR, CMCSA",CHTR | CMCSA,80 | 137
6,3.0,7,2,57,58,0.3519950442123753,0.3519950442123753,"SLV, GLD",SLV | GLD,11 | 166
7,3.0,9,2,70,71,0.12362029441529489,0.12362029441529489,"GM, F",GM | F,116 | 155
8,3.0,10,96,73,168,0.27255141022816526,0.27441151729728663,"LCID, BYDDF, LOW, HD, LI, NIO, XPEV, CRM, RIVN, XLU, TSM, DBB, PEP, PG, XLP, ... (+81)",LCID | BYDDF | LOW | HD | LI | NIO | XPEV | CRM | RIVN | XLU | TSM | DBB | PEP | PG | XLP | KO | ADBE | UNP | CSX | NSC | CAT | COPX | AVGO | HON | LIT | BABA | TCEHY | AMD | TSLA | TFC | HYG | VWOB | EMB | IGOV | TIP | BNDX | SHY | TLT | VCSH | LQD | VCIT | MBB | IEF | SCHZ | AGG | BND | XLV | AXP | BLK | FAN | ICLN | TAN | PBD | PBW | QCLN | C | MS | AMZN | AAPL | GS | GOOGL | NVDA | RWX | RWO | XLRE | SCHH | IYR | VNQ | FREL | VWO | EEM | IEMG | WFC | META | BRK-B | JPM | MSFT | BAC | XLB | XLC | XLF | IWM | XLY | XLI | DIA | EFA | SCHF | VEA | SPDW | ACWI | VTI | IVV | SPY | VOO | QQQ | XLK,104 | 65 | 58 | 64 | 63 | 40 | 66 | 141 | 145 | 136 | 68 | 120 | 157 | 9 | 91 | 140 | 168 | 7 | 71 | 110 | 22 | 115 | 163 | 55 | 25 | 27 | 73 | 24 | 105 | 54 | 44 | 42 | 149 | 3 | 117 | 142 | 35 | 72 | 148 | 16 | 94 | 6 | 151 | 134 | 1 | 111 | 159 | 29 | 79 | 18 | 20 | 81 | 83 | 85 | 88 | 36 | 62 | 87 | 124 | 123 | 97 | 89 | 60 | 147 | 158 | 49 | 100 | 12 | 108 | 106 | 32 | 146 | 47 | 118 | 31 | 48 | 38 | 52 | 5 | 14 | 138 | 28 | 84 | 114 | 46 | 2 | 67 | 21 | 53 | 130 | 70 | 43 | 57 | 152 | 126 | 164
