sub_group,parent_main_group,cluster_label,n_assets,ordered_from,ordered_to,mean_corr_intra,mean_dist_intra,assets_preview,assets_all,raw_indices
21,7,25,8,89,96,0.2034509048574654,0.04847721808878378,"MRNA, MO, TMUS, UNH, FAN, AMZN, PFE, RIVN",MRNA | MO | TMUS | UNH | FAN | AMZN | PFE | RIVN,13 | 19 | 37 | 69 | 18 | 87 | 59 | 145
22,7,26,3,97,99,0.123118831657571,0.020477781426806226,"TCEHY, TAN, CORN",TCEHY | TAN | CORN,73 | 81 | 82
23,7,27,10,100,109,0.40301860088379143,0.03855889348664066,"DBC, SPDW, COPX, QQQ, MBB, DBB, PBD, XLP, SLV, HYG",DBC | SPDW | COPX | QQQ | MBB | DBB | PBD | XLP | SLV | HYG,156 | 53 | 115 | 126 | 6 | 120 | 83 | 91 | 11 | 44
24,8,28,10,110,119,0.36043826714966054,0.03541435106317309,"PPLT, BND, SCHZ, XLB, USO, AGG, LQD, PSX, IGOV, IEMG",PPLT | BND | SCHZ | XLB | USO | AGG | LQD | PSX | IGOV | IEMG,33 | 111 | 134 | 5 | 131 | 1 | 16 | 75 | 3 | 146
25,8,29,4,120,123,0.2551661167118085,0.03962953680530996,"FDX, CHTR, SCHW, ORCL",FDX | CHTR | SCHW | ORCL,167 | 80 | 93 | 119
26,8,30,7,124,130,0.31611796221442134,0.047173446971724806,"CMCSA, ADBE, ICLN, SLB, GOOGL, BA, GM",CMCSA | ADBE | ICLN | SLB | GOOGL | BA | GM,137 | 168 | 20 | 128 | 97 | 74 | 116
27,9,31,5,131,135,0.33006490761733537,0.04323701763596386,"ACWI, BYDDF, VLO, XLY, UGA",ACWI | BYDDF | VLO | XLY | UGA,130 | 65 | 78 | 84 | 144
28,9,32,6,136,141,0.2937576609658782,0.04436359388146612,"HON, CVX, MCD, REGN, HD, PEP",HON | CVX | MCD | REGN | HD | PEP,55 | 23 | 107 | 61 | 64 | 157
29,10,33,8,143,150,0.22047295053794863,0.04776480089238395,"TGT, WMT, INFY, MELI, WBD, RTX, GILD, T",TGT | WMT | INFY | MELI | WBD | RTX | GILD | T,51 | 162 | 26 | 101 | 132 | 92 | 50 | 125
30,11,35,7,151,157,0.4385161588993621,0.02851578081209653,"OXY, SCHF, VTI, GLD, PDBC, VEA, XLK",OXY | SCHF | VTI | GLD | PDBC | VEA | XLK,96 | 67 | 70 | 166 | 113 | 21 | 164
31,11,36,11,158,168,0.4594875345088852,0.03595108817065812,"IVV, SPY, VOO, EFA, XLV, PG, HAL, XLU, XLE, NIO, LOW",IVV | SPY | VOO | EFA | XLV | PG | HAL | XLU | XLE | NIO | LOW,43 | 57 | 152 | 2 | 159 | 9 | 122 | 136 | 143 | 40 | 58
