sub_group,parent_main_group,cluster_label,n_assets,ordered_from,ordered_to,mean_corr_intra,mean_dist_intra,assets_preview,assets_all,raw_indices
1,1,1,5,1,5,0.2690111835370078,0.052031781366707316,"META, PM, GS, BKR, NSC",META | PM | GS | BKR | NSC,118 | 76 | 123 | 17 | 110
2,1,2,6,7,12,0.18964663867941028,0.03824933544298296,"NVDA, UNP, SHY, LCID, LLY, AVGO",NVDA | UNP | SHY | LCID | LLY | AVGO,89 | 7 | 35 | 104 | 112 | 163
3,2,5,7,13,19,0.7988506715816628,0.022617688634619455,"BAC, IYR, XLRE, DIA, FREL, VNQ, SCHH",BAC | IYR | XLRE | DIA | FREL | VNQ | SCHH,52 | 100 | 158 | 46 | 108 | 12 | 49
4,2,6,4,20,23,0.3713889378515988,0.0350693070618999,"XLI, IEF, LIT, QCLN",XLI | IEF | LIT | QCLN,114 | 151 | 25 | 88
5,2,7,5,24,28,0.29152170703027785,0.04470735085358764,"CAT, CSX, SHOP, DIS, VZ",CAT | CSX | SHOP | DIS | VZ,22 | 71 | 102 | 86 | 165
6,2,8,4,29,32,0.2457580347519779,0.0555687964777416,"IBM, C, MSFT, LI",IBM | C | MSFT | LI,98 | 36 | 38 | 63
7,2,9,7,33,39,0.28505201900612115,0.026365667480610252,"KRBN, AMD, XOM, TLT, VWO, VWOB, EMB",KRBN | AMD | XOM | TLT | VWO | VWOB | EMB,135 | 24 | 56 | 72 | 106 | 42 | 149
8,2,10,7,40,46,0.36444336154726514,0.039627912640002726,"SOYB, IWM, EEM, TIP, PBW, VCIT, VCSH",SOYB | IWM | EEM | TIP | PBW | VCIT | VCSH,161 | 28 | 32 | 117 | 85 | 94 | 148
9,3,11,2,47,48,0.3576975382351118,0.029509924400441607,"XPEV, TSLA",XPEV | TSLA,66 | 105
10,3,12,5,49,53,0.4223552571709995,0.04250112629093528,"WFC, MS, NFLX, SNOW, JPM",WFC | MS | NFLX | SNOW | JPM,47 | 62 | 150 | 15 | 48
11,4,13,4,54,57,0.7315649187067973,0.04717077734632899,"DOT-USD, ADA-USD, AVAX-USD, BTC-USD",DOT-USD | ADA-USD | AVAX-USD | BTC-USD,34 | 95 | 45 | 139
12,4,14,3,58,60,0.6572602113217761,0.06822255871892922,"ETH-USD, DOGE-USD, BNB-USD",ETH-USD | DOGE-USD | BNB-USD,133 | 30 | 109
13,4,15,4,61,64,0.1887805547218421,0.03577628249254938,"WEAT, RWX, BLK, BNDX",WEAT | RWX | BLK | BNDX,41 | 60 | 79 | 142
14,4,16,10,65,74,0.40980676138117034,0.04339893572711066,"RWO, XLF, XLC, AAPL, AXP, TJX, BRK-B, BABA, TSM, JNJ",RWO | XLF | XLC | AAPL | AXP | TJX | BRK-B | BABA | TSM | JNJ,147 | 138 | 14 | 124 | 29 | 8 | 31 | 27 | 68 | 77
15,4,17,2,76,77,0.20589682976443272,0.07680867680191049,"LMT, BMY",LMT | BMY,90 | 127
16,5,19,2,79,80,0.4711750893755485,0.057375385704268624,"UPS, F",UPS | F,103 | 155
17,6,21,2,81,82,0.06363757434442567,0.05405280192420788,"ABBV, PANW",ABBV | PANW,4 | 154
18,6,22,2,83,84,0.3661962437739416,0.05772215035559167,"NKE, CRM",NKE | CRM,39 | 141
19,6,23,2,85,86,0.30915350693900245,0.046465611933203844,"TFC, CVS",TFC | CVS,54 | 99
20,6,24,2,87,88,0.15001208339267183,0.06547412142569566,"KO, MPC",KO | MPC,140 | 153
