,SPY,QQQ,DIA,IWM,IVV,VTI,VOO,EFA,EEM,VEA,VWO,ACWI,SPDW,SCHF,XLK,XLF,XLE,XLI,XLY,XLV,XLC,XLP,XLRE,XLU,XLB,VNQ,IYR,RWX,SCHH,FREL,RWO,BNDX,VWOB,IGOV,IEMG,EMB,GLD,SLV,PPLT,COPX,DBB,DBC,PDBC,USO,UGA,CORN,WEAT,SOYB,TLT,IEF,LQD,HYG,SHY,TIP,AGG,BND,MBB,SCHZ,VCSH,VCIT,BTC-USD,ETH-USD,SOL-USD,BNB-USD,XRP-USD,ADA-USD,DOGE-USD,DOT-USD,AVAX-USD,AAPL,MSFT,GOOGL,AMZN,NVDA,TSLA,BRK-B,META,NFLX,DIS,JPM,GS,BAC,C,WFC,MS,AXP,BLK,SCHW,TFC,BA,CAT,HON,LMT,UNP,CSX,NSC,UPS,FDX,RTX,CVX,XOM,OXY,MPC,PSX,VLO,SLB,HAL,BKR,PG,KO,PEP,MO,PM,WMT,TGT,HD,LOW,MCD,SBUX,NKE,TJX,JNJ,PFE,UNH,CVS,ABBV,LLY,MRNA,REGN,BMY,GILD,AMD,INTC,TSM,ORCL,IBM,ADBE,CRM,SNOW,PANW,AVGO,VZ,T,CMCSA,CHTR,TMUS,WBD,BABA,TCEHY,NIO,INFY,SHOP,SE,MELI,BYDDF,GM,F,RIVN,LCID,XPEV,LI,ICLN,TAN,PBW,QCLN,LIT,FAN,PBD,KRBN
2013-04-23,126.90027618408203,62.47833251953125,113.43413543701172,78.30838012695312,127.30470275878906,65.51338195800781,116.32957458496094,41.59592819213867,31.942485809326172,25.552753448486328,29.74727439880371,39.73955535888672,18.531524658203125,10.09565258026123,25.41937828063965,11.877872467041016,48.01005935668945,32.387569427490234,46.76653289794922,39.31635284423828,,29.759645462036133,,26.984783172607422,29.805883407592773,44.922847747802734,48.389625549316406,25.191831588745117,12.227551460266113,,29.904766082763672,,,47.66459274291992,36.4439697265625,66.23375701904297,136.8800048828125,22.18000030517578,138.77000427246094,24.042333602905273,14.285030364990234,22.415321350097656,,254.8800048828125,53.93000030517578,38.90999984741211,92.3499984741211,22.809999465942383,86.81048583984375,82.9357681274414,78.62079620361328,48.25678253173828,69.47803497314453,89.22533416748047,79.60324096679688,58.75898742675781,78.72319030761719,18.74759864807129,58.193572998046875,57.08228302001953,,,,,,,,,,12.36004638671875,24.84676170349121,20.0792293548584,13.444999694824219,0.29989320039749146,3.4006669521331787,106.68000030517578,25.82082176208496,3.0998570919036865,55.96711349487305,34.34378433227539,112.38643646240234,9.537875175476074,34.55440139770508,25.951887130737305,15.764328956604004,56.65579605102539,190.0837860107422,14.262591361999512,18.653640747070312,74.36857604980469,60.950286865234375,51.6207160949707,67.81358337402344,56.0576171875,6.434438705444336,57.05064010620117,53.85386657714844,79.03260040283203,43.376766204833984,69.02227783203125,53.07563400268555,53.776885986328125,28.068742752075195,39.2602653503418,23.36042594909668,51.34920883178711,31.501785278320312,22.5964412689209,57.536067962646484,28.68877601623535,58.12156677246094,16.354841232299805,50.638545989990234,20.529056549072266,47.913604736328125,55.01127624511719,30.397342681884766,71.33330535888672,23.24370574951172,26.277360916137695,19.869613647460938,59.888301849365234,17.482460021972656,48.025390625,41.53097152709961,27.432266235351562,45.05491256713867,,211.676025390625,28.266538619995117,37.295806884765625,2.5299999713897705,16.89923667907715,13.018450736999512,26.98604393005371,111.57633972167969,44.869998931884766,40.652374267578125,,8.851667404174805,2.372559070587158,27.740631103515625,12.100329399108887,15.469642639160156,104.41000366210938,18.714859008789062,40.357688903808594,,5.735788822174072,,3.7485852241516113,,,92.07484436035156,1.0475610494613647,22.303958892822266,7.051408767700195,,,,,6.37528133392334,16.46820068359375,17.225053787231445,10.554609298706055,21.605974197387695,5.79287576675415,7.059157848358154,
2013-04-24,126.98070526123047,62.45133590698242,113.16371154785156,78.71559143066406,127.29669189453125,65.6102523803711,116.3617935180664,41.95529556274414,32.1324462890625,25.77232551574707,29.93606948852539,39.9262809753418,18.671640396118164,10.16377067565918,25.46187973022461,11.94876480102539,48.652462005615234,32.721641540527344,46.80117416381836,38.63918685913086,,29.28557014465332,,27.070804595947266,30.2554874420166,45.019832611083984,48.543399810791016,25.303428649902344,12.252470970153809,,30.020349502563477,,,47.707359313964844,36.57474136352539,66.2941665649414,138.3699951171875,22.420000076293945,140.3800048828125,25.10980224609375,14.54026985168457,22.660011291503906,,261.2799987792969,54.65999984741211,39.34000015258789,91.5999984741211,22.600000381469727,87.03022766113281,82.97399139404297,78.65296936035156,48.34311294555664,69.48622131347656,89.35720825195312,79.58901977539062,58.74500274658203,78.70137786865234,18.74759864807129,58.21529006958008,57.13378143310547,,,,,,,,,,12.339658737182617,25.788650512695312,20.2171688079834,13.439000129699707,0.3101063370704651,3.361999988555908,106.75,25.95002555847168,3.0959999561309814,55.38589096069336,34.73590850830078,113.16481018066406,9.72752857208252,35.0452766418457,26.098665237426758,15.647613525390625,56.630615234375,189.49037170410156,14.305572509765625,18.815465927124023,76.60350036621094,60.718387603759766,51.669036865234375,68.25375366210938,56.008174896240234,6.485806465148926,56.35856246948242,53.69952392578125,80.1268539428711,42.961158752441406,69.4923324584961,53.15290069580078,55.51481628417969,28.437034606933594,39.6904182434082,24.118989944458008,52.22714614868164,32.47801208496094,23.239665985107422,54.152915954589844,28.319244384765625,56.90521240234375,16.354841232299805,50.88198471069336,20.253915786743164,47.92736053466797,54.93632125854492,30.157426834106445,72.23423767089844,23.415912628173828,26.213455200195312,19.97916030883789,59.145381927490234,17.212459564208984,48.230506896972656,41.21603012084961,26.933935165405273,43.29379653930664,,209.45831298828125,27.698530197143555,35.36562728881836,2.609999895095825,17.10161781311035,13.132396697998047,27.027605056762695,111.63458251953125,44.66999816894531,40.4841423034668,,9.001667022705078,2.390883445739746,27.46493148803711,11.492208480834961,15.382644653320312,103.05000305175781,18.842933654785156,40.444557189941406,,5.781618118286133,,3.7148964405059814,,,94.62266540527344,1.0667823553085327,22.752283096313477,7.035575866699219,,,,,6.461539268493652,16.9246768951416,17.609542846679688,10.72038745880127,21.74294090270996,5.8608503341674805,7.1636762619018555,
2013-04-25,127.49545288085938,62.78423309326172,113.40324401855469,79.2330551147461,127.8986587524414,65.87651824951172,116.87701416015625,42.176429748535156,32.421165466308594,25.916414260864258,30.187814712524414,40.14410400390625,18.748714447021484,10.221132278442383,25.546897888183594,12.019657135009766,48.690250396728516,32.888648986816406,47.19947814941406,38.79422378540039,,29.378950119018555,,27.077415466308594,30.588808059692383,44.8682975769043,48.48321533203125,25.381532669067383,12.209753036499023,,30.00108528137207,,,47.707359313964844,36.843570709228516,66.22821807861328,141.6300048828125,23.489999771118164,143.74000549316406,25.93466567993164,14.778496742248535,22.95713233947754,,266.0,55.61000061035156,39.58000183105469,92.80000305175781,23.09000015258789,86.654541015625,82.88230895996094,78.60786437988281,48.47511291503906,69.47803497314453,89.4231185913086,79.55320739746094,58.710060119628906,78.65050506591797,18.719112396240234,58.21529006958008,57.13378143310547,,,,,,,,,,12.428521156311035,25.934810638427734,20.109050750732422,13.734999656677246,0.31265971064567566,3.4666669368743896,107.47000122070312,25.979841232299805,3.0535709857940674,55.43954086303711,34.935523986816406,113.81739044189453,9.830257415771484,35.03783416748047,26.308347702026367,15.63302230834961,57.22698211669922,193.07989501953125,14.400145530700684,19.089319229125977,77.31194305419922,61.2474250793457,51.461891174316406,68.65898895263672,56.35801696777344,6.569619178771973,57.05064010620117,54.93431091308594,79.99114990234375,43.01252365112305,69.62744140625,52.34459686279297,56.31794357299805,28.092851638793945,39.74177551269531,23.69947624206543,52.41987228393555,32.34309005737305,23.140317916870117,53.773712158203125,28.453615188598633,57.23695755004883,16.543577194213867,51.201171875,20.414846420288086,48.5873908996582,55.00379180908203,30.22140121459961,72.17703247070312,23.678129196166992,26.443504333496094,20.345714569091797,59.72707748413086,17.021211624145508,48.68170928955078,41.47370910644531,26.885316848754883,43.58730697631836,,215.55450439453125,26.8765869140625,35.96705627441406,2.680000066757202,16.89923667907715,13.310439109802246,26.828086853027344,112.93893432617188,45.04999923706055,40.33570098876953,,9.026666641235352,2.391616106033325,28.21782112121582,11.566671371459961,15.412904739379883,101.11000061035156,19.1310977935791,40.822689056396484,,5.8151092529296875,,3.7203590869903564,,,94.72067260742188,1.105224847793579,22.946552276611328,7.109468460083008,,,,,6.492905616760254,17.056354522705078,17.917125701904297,10.849327087402344,21.82853889465332,5.91372013092041,7.211916923522949,
2013-04-26,127.27027893066406,62.586273193359375,113.4959716796875,78.80886840820312,127.62567901611328,65.75547790527344,116.6194076538086,42.21098327636719,32.09445571899414,25.930133819580078,29.90808868408203,40.08186721801758,18.734703063964844,10.239058494567871,25.538389205932617,11.968098640441895,48.60836410522461,32.7932243347168,46.99164962768555,38.78604507446289,,29.371747970581055,,27.11712646484375,30.154706954956055,44.72283172607422,48.26259994506836,25.281112670898438,12.174158096313477,,29.91118812561035,,,47.9498291015625,36.582008361816406,66.18980407714844,140.91000366210938,23.100000381469727,144.83999633789062,25.400928497314453,14.421158790588379,22.826051712036133,,264.9599914550781,55.900001525878906,39.27000045776367,91.19999694824219,23.200000762939453,87.44831848144531,83.18025207519531,78.89161682128906,48.42435073852539,69.49444580078125,89.75270080566406,79.71768951416016,58.78693771362305,78.7523193359375,18.754724502563477,58.25141525268555,57.27540969848633,,,,,,,,,,12.69694995880127,25.813020706176758,19.918180465698242,12.740500450134277,0.31126686930656433,3.413332939147949,107.0999984741211,26.68549346923828,3.0792860984802246,55.32329559326172,34.84996795654297,113.30633544921875,9.814451217651367,34.89650344848633,26.476102828979492,15.647644996643066,56.90778732299805,193.2264404296875,14.382952690124512,19.02707862854004,78.30712890625,61.370643615722656,51.026878356933594,69.14807891845703,56.09184646606445,6.588540554046631,56.840030670166016,55.120792388916016,79.88934326171875,42.564247131347656,70.52632141113281,52.30296325683594,57.048675537109375,27.999910354614258,39.54917526245117,23.400650024414062,52.348487854003906,32.200225830078125,23.077558517456055,54.13886260986328,28.28565216064453,57.022708892822266,16.603418350219727,51.56364440917969,20.516080856323242,48.4842643737793,54.98876953125,30.14944076538086,72.14128112792969,23.482439041137695,26.3668270111084,20.39205551147461,59.65701675415039,16.92559242248535,48.79655838012695,41.32339096069336,27.85767936706543,43.61048126220703,,215.40533447265625,26.91669273376465,35.93208694458008,2.640000104904175,16.9136962890625,13.196491241455078,26.902908325195312,113.14859771728516,44.90999984741211,40.286216735839844,,8.9350004196167,2.3535022735595703,28.43520736694336,11.492208480834961,15.647405624389648,101.63999938964844,19.035045623779297,40.475215911865234,,5.9332098960876465,,3.6511597633361816,,,95.40662384033203,1.1532782316207886,22.78964614868164,7.215029716491699,,,,,6.461539268493652,17.27581214904785,17.994028091430664,10.784858703613281,21.571731567382812,5.921273231506348,7.219958305358887,
2013-04-29,128.122802734375,63.16202926635742,114.25328063964844,79.37727355957031,128.50868225097656,66.17503356933594,117.37606048583984,42.750022888183594,32.42877197265625,26.232057571411133,30.2227840423584,40.4553108215332,18.99393653869629,10.368120193481445,25.903955459594727,12.019657135009766,49.09962463378906,32.96025466918945,47.156192779541016,38.9084358215332,,29.46513557434082,,27.34210968017578,30.612060546875,45.104698181152344,48.636993408203125,25.621461868286133,12.266707420349121,,30.1937255859375,,,48.24934387207031,36.945281982421875,66.42046356201172,142.3000030517578,23.540000915527344,148.0800018310547,25.400928497314453,14.523255348205566,23.131912231445312,,268.8800048828125,55.93000030517578,41.84000015258789,95.69999694824219,23.56999969482422,87.12942504882812,83.14967346191406,78.89803314208984,48.5157585144043,69.51092529296875,89.510986328125,79.76774597167969,58.835838317871094,78.7886734008789,18.772539138793945,58.26581954956055,57.281856536865234,,,,,,,,,,13.0901517868042,26.478849411010742,20.35659408569336,12.487000465393066,0.31498074531555176,3.6626670360565186,106.61000061035156,26.814695358276367,3.071571111679077,56.333717346191406,34.87850570678711,114.09259033203125,9.782845497131348,34.8221435546875,26.476102828979492,16.239917755126953,56.8069953918457,196.47898864746094,14.563490867614746,19.18268585205078,77.50591278076172,61.45762634277344,50.95783233642578,69.2109375,56.053794860839844,6.653424263000488,57.62234878540039,55.480934143066406,79.52458190917969,42.78369903564453,71.27837371826172,52.42780303955078,57.838626861572266,28.36475372314453,39.67758560180664,23.676498413085938,52.841026306152344,32.99392318725586,23.469770431518555,54.5461311340332,28.379709243774414,57.11945724487305,16.85198402404785,51.91530990600586,20.34736442565918,48.566768646240234,55.22868347167969,30.58928108215332,73.063720703125,23.709436416625977,26.682086944580078,20.577428817749023,59.97941589355469,17.116832733154297,49.23137664794922,41.11580276489258,27.486957550048828,43.26291275024414,,214.29150390625,26.6694393157959,35.729286193847656,2.680000066757202,17.173898696899414,13.410141944885254,26.803144454956055,115.9669189453125,45.060001373291016,40.58309555053711,,9.011667251586914,2.384287118911743,28.345069885253906,11.57287883758545,15.692793846130371,101.62000274658203,19.1310977935791,40.28104019165039,,6.026632308959961,,3.7158074378967285,,,96.9745101928711,1.175702691078186,23.006324768066406,7.209751129150391,,,,,6.610530853271484,18.030752182006836,18.37851333618164,10.978264808654785,21.691574096679688,6.064772129058838,7.332517147064209,
2013-04-30,128.42840576171875,63.62083053588867,114.3768081665039,79.82687377929688,128.78961181640625,66.37680053710938,117.74627685546875,42.80530548095703,32.89227294921875,26.30066680908203,30.600387573242188,40.603118896484375,19.02896499633789,10.407556533813477,26.18450927734375,12.051884651184082,49.29484939575195,32.96821594238281,47.28607940673828,38.614707946777344,,29.40766716003418,,27.41490364074707,30.658580780029297,45.63207244873047,49.11164855957031,25.727476119995117,12.405540466308594,,30.450592041015625,,,48.47277069091797,37.395755767822266,66.67860412597656,142.77000427246094,23.459999084472656,147.49000549316406,25.643543243408203,14.336078643798828,22.95713233947754,,265.2799987792969,55.16999816894531,41.4900016784668,97.3499984741211,23.510000228881836,87.17906951904297,83.1343994140625,78.76261138916016,48.66806411743164,69.50273895263672,89.45970916748047,79.75340270996094,58.835838317871094,78.79598999023438,18.758289337158203,58.291175842285156,57.26701354980469,,,,,,,,,,13.47544002532959,26.8767147064209,20.493541717529297,12.690500259399414,0.3196231722831726,3.5993330478668213,106.31999969482422,27.599855422973633,3.086714029312134,56.19065475463867,34.942657470703125,114.847412109375,9.72752857208252,34.703147888183594,26.54599952697754,16.19605255126953,57.46217346191406,195.22630310058594,14.580684661865234,19.151561737060547,77.09264373779297,61.363399505615234,50.7783088684082,69.23190307617188,56.25913619995117,6.648022174835205,58.23921203613281,55.204402923583984,79.74516296386719,42.62960433959961,71.68376922607422,52.89138412475586,58.760276794433594,26.970781326293945,39.131858825683594,23.1707820892334,53.12650680541992,33.94635009765625,23.736469268798828,53.907142639160156,28.440181732177734,56.995052337646484,16.805952072143555,51.71514129638672,20.1734561920166,48.51176452636719,54.98876953125,30.725231170654297,73.03510284423828,23.811201095581055,27.0953311920166,20.547943115234375,59.73408508300781,16.35183334350586,49.16573715209961,41.645511627197266,27.98528480529785,42.77628707885742,,213.95338439941406,26.542484283447266,35.41457748413086,2.819999933242798,17.31123161315918,13.588184356689453,27.2520809173584,117.94096374511719,45.08000183105469,40.68206024169922,,9.016667366027832,2.3425087928771973,28.583663940429688,11.622519493103027,15.62093734741211,100.73999786376953,18.954999923706055,40.27593231201172,,6.08127498626709,,3.800485610961914,,,98.57180786132812,1.134056568145752,23.04368782043457,7.236141681671143,,,,,6.665422439575195,17.890295028686523,18.416959762573242,11.033524513244629,21.897022247314453,6.057219505310059,7.388801097869873,
2013-05-01,127.30240631103516,63.32396697998047,113.38776397705078,77.89268493652344,127.70597839355469,65.69901275634766,116.68379974365234,42.54961013793945,32.53514099121094,26.1016788482666,30.278722763061523,40.2763671875,18.923870086669922,10.346610069274902,25.95496940612793,11.916540145874023,48.52650833129883,32.5386962890625,47.03496170043945,38.2067985534668,,29.378950119018555,,27.143590927124023,30.11594581604004,45.26836395263672,48.77738571166992,25.649364471435547,12.33078384399414,,30.283626556396484,,,48.63922882080078,37.0179443359375,66.78387451171875,141.11000061035156,22.860000610351562,144.86000061035156,25.255367279052734,13.936199188232422,22.546405792236328,,259.1199951171875,53.81999969482422,41.099998474121094,95.75,23.09000015258789,88.07461547851562,83.40593719482422,79.11324310302734,48.5752067565918,69.5167007446289,89.43846130371094,79.7907485961914,58.93532180786133,78.80979919433594,18.773273468017578,58.29841232299805,57.3896484375,,,,,,,,,,13.369227409362793,26.56816291809082,20.390644073486328,12.411499977111816,0.31683769822120667,3.552000045776367,106.12000274658203,27.26194190979004,3.0415709018707275,56.52151107788086,34.22969055175781,112.12698364257812,9.593195915222168,34.11559295654297,26.182538986206055,15.976685523986816,57.35297393798828,191.15330505371094,13.935900688171387,18.890153884887695,76.89867401123047,60.21107482910156,50.080928802490234,69.41358184814453,55.38838195800781,6.507433891296387,56.936927795410156,54.548439025878906,78.04014587402344,42.51752853393555,70.66145324707031,52.011741638183594,57.63456726074219,25.28768539428711,38.31003952026367,22.285789489746094,52.66970443725586,33.39869689941406,23.26581573486328,54.06163024902344,28.359554290771484,56.81537628173828,16.718488693237305,51.7584228515625,20.26170539855957,48.49800109863281,54.54648208618164,30.533296585083008,72.49166870117188,23.5372314453125,26.993087768554688,20.375202178955078,59.03325271606445,16.256210327148438,48.99343490600586,42.05350875854492,27.681432723999023,41.89573669433594,,235.98121643066406,26.542484283447266,35.064918518066406,3.2200000286102295,17.34014129638672,13.609550476074219,27.5679988861084,116.24644470214844,44.709999084472656,41.12738037109375,,8.613332748413086,2.295599937438965,27.783050537109375,11.653546333312988,15.83273983001709,101.16999816894531,15.960070610046387,39.928462982177734,,6.04954719543457,,3.7822744846343994,,,95.99457550048828,1.1436675786972046,22.550540924072266,7.113854885101318,,,,,6.681107521057129,17.50404930114746,17.994028091430664,10.812484741210938,21.177963256835938,6.027009010314941,7.276240348815918,
2013-05-02,128.48475646972656,64.1246109008789,114.33047485351562,79.13126373291016,128.86184692382812,66.38484954833984,117.73021697998047,42.680912017822266,32.793487548828125,26.184019088745117,30.55842399597168,40.517539978027344,18.986927032470703,10.386046409606934,26.286518096923828,12.019657135009766,49.162593841552734,32.944339752197266,47.49388885498047,38.631038665771484,,29.486692428588867,,27.110519409179688,30.332992553710938,45.56539535522461,48.96458053588867,25.77210235595703,12.405540466308594,,30.46343231201172,,,48.41095733642578,37.315826416015625,67.05941772460938,141.9199981689453,23.020000457763672,146.99000549316406,25.400928497314453,13.995756149291992,22.834789276123047,,267.9200134277344,54.959999084472656,41.86000061035156,96.25,23.010000228881836,87.96100616455078,83.40593719482422,79.11324310302734,48.886444091796875,69.50841522216797,89.34297943115234,79.7978515625,58.94927215576172,78.722412109375,18.78396224975586,58.32734298706055,57.38316345214844,,,,,,,,,,13.55883502960205,26.925430297851562,20.618799209594727,12.6274995803833,0.3205515742301941,3.607332944869995,107.30000305175781,28.79250144958496,3.064142942428589,57.12060546875,34.27959442138672,112.96037292480469,9.63270378112793,34.62144470214844,26.147594451904297,16.298412322998047,58.276947021484375,192.18614196777344,14.133635520935059,19.045745849609375,77.7673568725586,61.066261291503906,51.075218200683594,70.3358154296875,55.958744049072266,6.572320938110352,57.89848327636719,54.87641906738281,78.2861099243164,42.84442901611328,71.70140075683594,52.67742156982422,57.99003601074219,26.08965492248535,38.714542388916016,23.249004364013672,52.99803161621094,33.65269088745117,23.706579208374023,54.60231399536133,28.19158363342285,57.0572395324707,16.870397567749023,51.4013671875,20.365528106689453,47.569862365722656,54.973812103271484,31.08509635925293,72.97789001464844,23.631168365478516,26.976045608520508,20.590072631835938,59.68505096435547,16.464332580566406,48.79655838012695,42.19668197631836,26.733400344848633,42.25104904174805,,247.25868225097656,26.73626708984375,36.49156951904297,3.4100000858306885,17.426881790161133,13.908661842346191,28.008609771728516,117.85365295410156,45.689998626708984,41.43415069580078,,8.800000190734863,2.352037191390991,27.85198402404785,11.653546333312988,15.927305221557617,103.12999725341797,17.119396209716797,40.61829376220703,,6.254019737243652,,3.8760569095611572,,,98.7090072631836,1.1276495456695557,23.282793045043945,7.129806041717529,,,,,6.681107521057129,17.899072647094727,18.455408096313477,11.088784217834473,21.451889038085938,6.034560680389404,7.380760192871094,
2013-05-03,129.7876739501953,64.88029479980469,115.41236114501953,80.38677978515625,130.13804626464844,67.00619506835938,118.84098815917969,43.226863861083984,33.067012786865234,26.49966812133789,30.768199920654297,40.96099853515625,19.225139617919922,10.490015983581543,26.53305435180664,12.148553848266602,50.05064010620117,33.509056091308594,48.09134292602539,38.892112731933594,,29.615978240966797,,27.05756378173828,30.867874145507812,45.74724197387695,49.00468826293945,26.023189544677734,12.434017181396484,,30.623973846435547,,,48.30157470703125,37.628257751464844,66.89409637451172,142.08999633789062,23.290000915527344,147.02000427246094,26.419878005981445,14.608335494995117,23.08821678161621,,272.0799865722656,55.869998931884766,41.619998931884766,95.6500015258789,23.469999313354492,85.88713836669922,82.69463348388672,78.369384765625,48.9630012512207,69.48381805419922,88.73355102539062,79.50415802001953,58.669219970703125,78.52592468261719,18.74474334716797,58.305633544921875,57.21540832519531,,,,,,,,,,13.694565773010254,27.193389892578125,21.01919174194336,12.90250015258789,0.3219442069530487,3.636667013168335,108.63999938964844,28.136545181274414,3.049285888671875,57.94327163696289,33.91599655151367,114.2970199584961,9.672211647033691,34.94132614135742,26.378246307373047,16.642070770263672,58.99090576171875,198.77191162109375,15.01913833618164,19.25737190246582,79.05770874023438,63.03753662109375,51.95212936401367,71.27204132080078,56.81808090209961,6.707498073577881,58.913047790527344,55.365169525146484,80.1777572631836,43.4794921875,72.55329895019531,53.50355529785156,59.747703552246094,26.881296157836914,39.92155456542969,23.632509231567383,54.047306060791016,33.77173614501953,24.441173553466797,54.90426254272461,28.379709243774414,57.24384689331055,16.805952072143555,50.99559783935547,20.570594787597656,48.47050476074219,55.44609451293945,31.660900115966797,73.59284210205078,24.214305877685547,27.500064849853516,20.876571655273438,60.098575592041016,16.289960861206055,48.337154388427734,41.97477722167969,27.152711868286133,42.47502899169922,,264.6919860839844,26.863231658935547,38.568599700927734,3.5999999046325684,17.48160743713379,13.823202133178711,27.750898361206055,119.08810424804688,47.0099983215332,41.800296783447266,,9.0649995803833,2.3366446495056152,27.931499481201172,11.585288047790527,16.08993911743164,104.61000061035156,16.906850814819336,40.475215911865234,,6.2469682693481445,,3.9507195949554443,,,101.93299102783203,1.18531334400177,23.985158920288086,7.353112697601318,,,,,6.720314979553223,17.784954071044922,18.53230857849121,11.263771057128906,21.811418533325195,6.117640018463135,7.45311975479126,
2013-05-06,130.11740112304688,65.13219451904297,115.46637725830078,80.90426635742188,130.48329162597656,67.26438903808594,119.21127319335938,43.17158126831055,33.11260986328125,26.479087829589844,30.803173065185547,41.01545333862305,19.155075073242188,10.472088813781738,26.660585403442383,12.277451515197754,50.39070510864258,33.72381591796875,48.2471923828125,38.63918685913086,,29.400497436523438,,26.680389404296875,30.953144073486328,45.983646392822266,49.198570251464844,25.978559494018555,12.498089790344238,,30.688196182250977,,,48.16365432739258,37.6355094909668,66.83343505859375,142.14999389648438,23.18000030517578,147.67999267578125,26.492656707763672,14.55728816986084,23.11443328857422,,273.1199951171875,56.70000076293945,40.18000030517578,93.25,23.030000686645508,85.67405700683594,82.58753967285156,78.35641479492188,48.993621826171875,69.48381805419922,88.60140991210938,79.37521362304688,58.66219711303711,78.43853759765625,18.709075927734375,58.269474029541016,57.060462951660156,,,,,,,,,,14.021121978759766,27.404502868652344,21.41262435913086,12.78600025177002,0.32101571559906006,3.9666669368743896,110.0,27.401081085205078,3.009856939315796,58.17574691772461,34.35090255737305,116.71868133544922,10.177950859069824,35.32072067260742,26.490081787109375,17.02229881286621,58.84812927246094,200.97686767578125,15.087913513183594,19.394306182861328,79.43724060058594,63.479644775390625,52.53215789794922,71.39778900146484,57.56713104248047,6.821045398712158,58.92063522338867,55.976139068603516,81.62828063964844,43.65693283081055,72.41228485107422,53.83639907836914,58.82608413696289,27.65226936340332,41.0065803527832,24.129173278808594,54.36137390136719,34.17652893066406,24.61958122253418,54.59529495239258,28.2722225189209,57.015804290771484,16.608016967773438,50.373451232910156,20.461566925048828,48.14737319946289,56.42067337036133,32.63655090332031,72.98504638671875,24.453054428100586,27.248701095581055,20.767032623291016,59.348636627197266,16.15496063232422,49.38724136352539,41.47370910644531,27.0980281829834,42.073387145996094,,261.30078125,26.74295997619629,38.06507873535156,3.609999895095825,17.44512176513672,13.922901153564453,27.858966827392578,118.0807113647461,46.4900016784668,41.99821472167969,,8.979999542236328,2.404076337814331,27.597475051879883,11.507719993591309,16.180713653564453,105.02999877929688,17.04210662841797,40.37813186645508,,6.2698822021484375,,3.933419704437256,,,101.86441040039062,1.2013314962387085,23.77594566345215,7.491346836090088,,,,,6.759522438049316,17.951745986938477,18.76299285888672,11.494022369384766,21.811418533325195,6.102536201477051,7.525479316711426,
2013-05-07,130.77694702148438,65.09622192382812,116.10770416259766,81.5659408569336,131.14947509765625,67.63558197021484,119.82305145263672,43.240692138671875,33.34813690185547,26.547687530517578,31.047937393188477,41.17105484008789,19.232145309448242,10.482845306396484,26.643587112426758,12.341903686523438,50.78119659423828,34.03401184082031,48.654170989990234,38.76156997680664,,29.623159408569336,,26.938457489013672,31.247730255126953,46.23823165893555,49.48604965209961,25.839065551757812,12.558600425720215,,30.758821487426758,,,48.02573013305664,37.92613220214844,66.66265106201172,140.3800048828125,23.100000381469727,145.25,26.34709930419922,14.574302673339844,23.035783767700195,,272.0799865722656,56.099998474121094,40.290000915527344,94.1500015258789,23.18000030517578,85.34026336669922,82.4727783203125,78.2982177734375,48.95790100097656,69.48381805419922,88.59404754638672,79.33218383789062,58.60619354248047,78.42396545410156,18.691247940063477,58.255001068115234,57.0281982421875,,,,,,,,,,13.958728790283203,27.04722785949707,21.305255889892578,12.886500358581543,0.31683769822120667,3.700666904449463,109.9000015258789,26.725244522094727,2.9464290142059326,59.07887268066406,35.035335540771484,117.40271759033203,10.193755149841309,35.78938293457031,26.83955192565918,17.014995574951172,58.99930953979492,201.85598754882812,14.993345260620117,19.61214828491211,79.94326782226562,65.07406616210938,53.09834671020508,71.87989044189453,58.44926452636719,6.848082542419434,59.367340087890625,57.01796340942383,84.41905975341797,43.834381103515625,72.28890991210938,54.17517852783203,58.7536735534668,28.030900955200195,41.39822769165039,24.588119506835938,54.882415771484375,34.46224594116211,24.61958122253418,54.72869873046875,28.68877601623535,57.59630584716797,16.787534713745117,50.64392852783203,20.461566925048828,48.50489807128906,56.278236389160156,32.220706939697266,73.1423568725586,24.421630859375,27.227401733398438,21.078811645507812,59.94434356689453,16.32933807373047,49.63336181640625,41.90320587158203,27.292495727539062,41.841670989990234,,260.743896484375,26.74295997619629,37.15593338012695,3.5399999618530273,17.620229721069336,13.865926742553711,27.651132583618164,118.57569885253906,45.599998474121094,41.97842025756836,,8.786666870117188,2.3850197792053223,28.058757781982422,11.64113998413086,16.282835006713867,109.69000244140625,17.30295753479004,39.790496826171875,,6.292797088623047,,4.001708507537842,,,120.08142852783203,1.2205525636672974,23.648923873901367,7.54451322555542,,,,,6.7830491065979,17.407485961914062,18.455408096313477,11.300613403320312,21.77718162536621,6.1402974128723145,7.45311975479126,
